"PRODUCT","DRAW NUMBER","DRAW DATE","BONUS MULTIPLIER","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4","NUMBER DRAWN 5","NUMBER DRAWN 6","NUMBER DRAWN 7","NUMBER DRAWN 8","NUMBER DRAWN 9","NUMBER DRAWN 10","NUMBER DRAWN 11","NUMBER DRAWN 12","NUMBER DRAWN 13","NUMBER DRAWN 14","NUMBER DRAWN 15","NUMBER DRAWN 16","NUMBER DRAWN 17","NUMBER DRAWN 18","NUMBER DRAWN 19","NUMBER DRAWN 20"
"KENO",1,"1995-11-26 06:30:00",null,1,3,11,13,19,20,22,28,29,38,43,46,50,51,53,54,57,64,76,78
"KENO",2,"1995-11-26 06:35:00",null,1,2,6,10,14,21,27,29,30,35,39,40,42,50,51,53,54,61,65,69
"KENO",3,"1995-11-26 06:40:00",null,2,10,16,21,23,32,33,44,49,52,53,60,66,68,69,71,73,74,75,79
"KENO",4,"1995-11-26 06:45:00",null,14,16,22,25,26,28,34,39,41,43,48,49,51,58,62,63,68,70,76,77
"KENO",5,"1995-11-26 06:50:00",null,3,10,11,14,19,20,21,22,27,28,29,30,50,51,56,68,72,74,76,79
"KENO",6,"1995-11-26 06:55:00",null,5,7,9,12,16,17,24,29,30,41,42,43,45,46,57,58,61,62,67,70
"KENO",7,"1995-11-26 07:00:00",null,6,9,12,13,18,26,35,39,41,43,45,46,49,52,61,62,67,69,70,80
"KENO",8,"1995-11-26 07:05:00",null,1,6,11,12,13,16,19,25,26,31,35,36,42,44,49,53,62,63,71,73
"KENO",9,"1995-11-26 07:10:00",null,15,18,19,21,23,27,28,30,31,33,40,41,42,46,52,69,73,74,78,79
"KENO",10,"1995-11-26 07:15:00",null,1,2,6,12,15,19,24,25,28,34,37,40,41,42,47,48,59,68,75,76
"KENO",11,"1995-11-26 07:20:00",null,4,5,8,11,16,19,20,23,30,31,50,56,57,59,68,69,74,78,79,80
"KENO",12,"1995-11-26 07:25:00",null,1,5,6,13,22,32,34,35,37,42,51,52,53,57,70,74,75,76,78,80
"KENO",13,"1995-11-26 07:30:00",null,7,11,21,22,24,37,38,39,47,49,56,60,64,66,68,71,72,73,76,77
"KENO",14,"1995-11-26 07:35:00",null,1,15,22,26,33,36,39,40,41,42,44,48,49,51,56,61,62,68,74,77
"KENO",15,"1995-11-26 07:40:00",null,7,10,18,25,26,30,31,33,34,42,43,44,45,50,60,61,70,71,72,74
"KENO",16,"1995-11-26 07:45:00",null,2,4,6,7,8,11,13,15,23,40,50,54,56,58,62,69,70,74,77,80
"KENO",17,"1995-11-26 07:50:00",null,1,6,8,10,13,20,22,25,36,37,41,44,46,55,59,61,65,69,75,76
"KENO",18,"1995-11-26 07:55:00",null,1,4,6,9,11,19,23,33,35,37,42,47,52,53,54,56,68,72,77,78
"KENO",19,"1995-11-26 08:00:00",null,2,4,7,13,14,26,29,42,46,48,49,50,51,58,65,66,68,74,76,80
"KENO",20,"1995-11-26 08:05:00",null,3,7,12,18,21,33,36,37,45,48,50,52,54,56,59,63,65,67,71,75
"KENO",21,"1995-11-26 08:10:00",null,3,4,6,8,9,10,12,39,48,52,54,55,57,64,67,68,70,71,74,79
"KENO",22,"1995-11-26 08:15:00",null,11,14,31,33,34,38,39,42,43,46,47,48,50,52,55,63,66,69,75,80
"KENO",23,"1995-11-26 08:20:00",null,8,11,34,36,38,39,40,51,55,58,60,61,66,67,70,72,75,76,77,80
"KENO",24,"1995-11-26 08:25:00",null,5,8,14,15,17,19,21,24,35,38,43,47,51,54,57,59,63,66,76,79
"KENO",25,"1995-11-26 08:30:00",null,2,3,5,16,19,21,25,46,49,54,56,57,58,59,63,65,66,78,79,80
"KENO",26,"1995-11-26 08:35:00",null,1,5,16,17,18,20,23,33,34,39,44,47,51,52,58,60,66,72,73,78
"KENO",27,"1995-11-26 08:40:00",null,2,3,4,6,8,10,12,13,15,20,24,25,26,40,45,46,62,63,69,76
"KENO",28,"1995-11-26 08:45:00",null,1,5,6,15,18,23,24,27,29,31,37,43,44,54,58,59,65,72,78,80
"KENO",29,"1995-11-26 08:50:00",null,1,2,4,6,14,15,16,17,25,37,39,41,42,44,51,58,59,65,74,77
"KENO",30,"1995-11-26 08:55:00",null,3,7,9,14,15,17,20,22,25,26,29,30,31,45,55,66,69,74,77,79
"KENO",31,"1995-11-26 09:00:00",null,7,10,17,23,28,40,51,53,56,58,60,61,62,67,68,69,74,76,78,79
